German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 https://RBP2GO.dkfz.de 
 Wassmer et al., 2023 
 
 
"InterPro_ID"	"Type"	"InterPro_Name"
"IPR000037"	"Family"	"SsrA-binding protein"
"IPR000039"	"Family"	"Ribosomal protein L18e"
"IPR000054"	"Family"	"Ribosomal protein L31e"
"IPR000077"	"Family"	"Ribosomal protein L39e"
"IPR000100"	"Family"	"Ribonuclease P"
"IPR000110"	"Family"	"Ribosomal protein S1"
"IPR000114"	"Family"	"Ribosomal protein L16"
"IPR000206"	"Family"	"Ribosomal protein L7/L12"
"IPR000218"	"Family"	"Ribosomal protein L14P"
"IPR000231"	"Family"	"Ribosomal protein L30e"
"IPR000235"	"Family"	"Ribosomal protein S5/S7"
"IPR000238"	"Family"	"Ribosome-binding factor A"
"IPR000244"	"Family"	"Ribosomal protein L9"
"IPR000266"	"Family"	"Ribosomal protein S17/S11"
"IPR000268"	"Family"	"DNA-directed RNA polymerase subunit RPABC5/Rpb10"
"IPR000271"	"Family"	"Ribosomal protein L34"
"IPR000289"	"Family"	"Ribosomal protein S28e"
"IPR000307"	"Family"	"Ribosomal protein S16"
"IPR000394"	"Family"	"RNA polymerase sigma factor 54"
"IPR000398"	"Family"	"Thymidylate synthase"
"IPR000439"	"Family"	"Ribosomal protein L15e"
"IPR000456"	"Family"	"Ribosomal protein L17"
"IPR000473"	"Family"	"Ribosomal protein L36"
"IPR000509"	"Family"	"Ribosomal protein L36e"
"IPR000529"	"Family"	"Ribosomal protein S6"
"IPR000530"	"Family"	"Ribosomal protein S12e"
"IPR000533"	"Family"	"Tropomyosin"
"IPR000552"	"Family"	"Ribosomal protein L44e"
"IPR000554"	"Family"	"Ribosomal protein S7e"
"IPR000559"	"Family"	"Formate-tetrahydrofolate ligase, FTHFS"
"IPR000589"	"Family"	"Ribosomal protein S15"
"IPR000592"	"Family"	"Ribosomal protein S27"
"IPR000597"	"Family"	"Ribosomal protein L3"
"IPR000630"	"Family"	"Ribosomal protein S8"
"IPR000649"	"Family"	"Initiation factor 2B-related"
"IPR000692"	"Family"	"Fibrillarin"
"IPR000702"	"Family"	"Ribosomal protein L6"
"IPR000741"	"Family"	"Fructose-bisphosphate aldolase, class-I"
"IPR000748"	"Family"	"Pseudouridine synthase, RsuA/RluB/E/F"
"IPR000754"	"Family"	"Ribosomal protein S9"
"IPR000851"	"Family"	"Ribosomal protein S5"
"IPR000876"	"Family"	"Ribosomal protein S4e"
"IPR000892"	"Family"	"Ribosomal protein S26e"
"IPR000911"	"Family"	"Ribosomal protein L11/L12"
"IPR000915"	"Family"	"60S ribosomal protein L6E"
"IPR000924"	"Family"	"Glutamyl/glutaminyl-tRNA synthetase"
"IPR000969"	"Family"	"Structure-specific recognition protein"
"IPR000988"	"Family"	"Ribosomal protein L24e-related"
"IPR001040"	"Family"	"Translation Initiation factor eIF- 4e"
"IPR001047"	"Family"	"Ribosomal protein S8e"
"IPR001063"	"Family"	"Ribosomal protein L22/L17"
"IPR001141"	"Family"	"Ribosomal protein L27e"
"IPR001147"	"Family"	"Ribosomal protein L21e"
"IPR001197"	"Family"	"Ribosomal protein L10e"
"IPR001209"	"Family"	"Ribosomal protein S14"
"IPR001210"	"Family"	"Ribosomal protein S17e"
"IPR001233"	"Family"	"RNA-splicing ligase, RtcB"
"IPR001266"	"Family"	"Ribosomal protein S19e"
"IPR001269"	"Family"	"tRNA-dihydrouridine synthase"
"IPR001278"	"Family"	"Arginine-tRNA ligase"
"IPR001288"	"Family"	"Translation initiation factor 3"
"IPR001328"	"Family"	"Peptidyl-tRNA hydrolase"
"IPR001352"	"Family"	"Ribonuclease HII/HIII"
"IPR001377"	"Family"	"Ribosomal protein S6e"
"IPR001380"	"Family"	"Ribosomal protein L13e"
"IPR001383"	"Family"	"Ribosomal protein L28"
"IPR001404"	"Family"	"Heat shock protein Hsp90 family"
"IPR001406"	"Family"	"Pseudouridine synthase I, TruA"
"IPR001515"	"Family"	"Ribosomal protein L32e"
"IPR001566"	"Family"	"23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD"
"IPR001568"	"Family"	"Ribonuclease T2-like"
"IPR001569"	"Family"	"Ribosomal protein L37e"
"IPR001580"	"Family"	"Calreticulin/calnexin"
"IPR001593"	"Family"	"Ribosomal protein S3Ae"
"IPR001648"	"Family"	"Ribosomal protein S18"
"IPR001656"	"Family"	"Pseudouridine synthase, TruD"
"IPR001684"	"Family"	"Ribosomal protein L27"
"IPR001705"	"Family"	"Ribosomal protein L33"
"IPR001706"	"Family"	"Ribosomal protein L35, non-mitochondrial"
"IPR001737"	"Family"	"Ribosomal RNA adenine methyltransferase KsgA/Erm"
"IPR001780"	"Family"	"Ribosomal protein L35A"
"IPR001787"	"Family"	"Ribosomal protein L21"
"IPR001790"	"Family"	"Ribosomal protein L10P"
"IPR001801"	"Family"	"Histone-like protein H-NS"
"IPR001848"	"Family"	"Ribosomal protein S10"
"IPR001854"	"Family"	"Ribosomal protein L29/L35"
"IPR001857"	"Family"	"Ribosomal protein L19"
"IPR001865"	"Family"	"Ribosomal protein S2"
"IPR001884"	"Family"	"Translation elongation factor IF5A-like"
