German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 https://RBP2GO.dkfz.de 
 Wassmer et al., 2023 
 
 
"InterPro_ID"	"Type"	"InterPro_Name"	"Selection"
"IPR000061"	"Domain"	"SWAP/Surp"	"Selected"
"IPR000196"	"Domain"	"Ribosomal protein L19/L19e"	"Selected"
"IPR000197"	"Domain"	"Zinc finger, TAZ-type"	"Selected"
"IPR000241"	"Domain"	"Putative RNA methylase domain"	"Selected"
"IPR000253"	"Domain"	"Forkhead-associated (FHA) domain"	"Selected"
"IPR000261"	"Domain"	"EH domain"	"Selected"
"IPR000331"	"Domain"	"Rap/Ran-GAP domain"	"Selected"
"IPR000352"	"Domain"	"Peptide chain release factor class I"	"Selected"
"IPR000467"	"Domain"	"G-patch domain"	"Selected"
"IPR000477"	"Domain"	"Reverse transcriptase domain"	"Selected"
"IPR000504"	"Domain"	"RNA recognition motif domain"	"Selected"
"IPR000557"	"Repeat"	"Calponin repeat"	"Selected"
"IPR000571"	"Domain"	"Zinc finger, CCCH-type"	"Selected"
"IPR000573"	"Domain"	"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain"	"Selected"
"IPR000684"	"Repeat"	"RNA polymerase II, heptapeptide repeat, eukaryotic"	"Selected"
"IPR000690"	"Domain"	"Matrin/U1-C, C2H2-type zinc finger"	"Selected"
"IPR000722"	"Domain"	"RNA polymerase, alpha subunit"	"Selected"
"IPR000738"	"Domain"	"WHEP-TRS domain"	"Selected"
"IPR000783"	"Domain"	"RNA polymerase, subunit H/Rpb5 C-terminal"	"Selected"
"IPR000795"	"Domain"	"Translational (tr)-type GTP-binding domain"	"Selected"
"IPR000897"	"Domain"	"Signal recognition particle, SRP54 subunit, GTPase domain"	"Selected"
"IPR000953"	"Domain"	"Chromo/chromo shadow domain"	"Selected"
"IPR000967"	"Domain"	"Zinc finger, NF-X1-type"	"Selected"
"IPR000976"	"Domain"	"Wilm's tumour protein, N-terminal"	"Selected"
"IPR000994"	"Domain"	"Peptidase M24"	"Selected"
"IPR000999"	"Domain"	"Ribonuclease III domain"	"Selected"
"IPR001030"	"Domain"	"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"	"Selected"
"IPR001084"	"Repeat"	"Microtubule associated protein,  tubulin-binding repeat"	"Selected"
"IPR001163"	"Domain"	"LSM domain, eukaryotic/archaea-type"	"Selected"
"IPR001179"	"Domain"	"FKBP-type peptidyl-prolyl cis-trans isomerase domain"	"Selected"
"IPR001236"	"Domain"	"Lactate/malate dehydrogenase, N-terminal"	"Selected"
"IPR001247"	"Domain"	"Exoribonuclease, phosphorolytic domain 1"	"Selected"
"IPR001279"	"Domain"	"Metallo-beta-lactamase"	"Selected"
"IPR001313"	"Repeat"	"Pumilio RNA-binding repeat"	"Selected"
"IPR001339"	"Domain"	"mRNA capping enzyme, adenylation domain"	"Selected"
"IPR001351"	"Domain"	"Ribosomal protein S3, C-terminal"	"Selected"
"IPR001374"	"Domain"	"R3H domain"	"Selected"
"IPR001494"	"Domain"	"Importin-beta, N-terminal domain"	"Selected"
"IPR001510"	"Domain"	"Zinc finger, PARP-type"	"Selected"
"IPR001529"	"Domain"	"DNA-directed RNA polymerase, M/15kDa subunit"	"Selected"
"IPR001537"	"Domain"	"tRNA/rRNA methyltransferase, SpoU type"	"Selected"
"IPR001607"	"Domain"	"Zinc finger, UBP-type"	"Selected"
"IPR001650"	"Domain"	"Helicase, C-terminal"	"Selected"
"IPR001662"	"Domain"	"Elongation factor 1B gamma, C-terminal"	"Selected"
"IPR001678"	"Domain"	"SAM-dependent methyltransferase RsmB/NOP2-type"	"Selected"
"IPR001739"	"Domain"	"Methyl-CpG DNA binding"	"Selected"
"IPR001876"	"Domain"	"Zinc finger, RanBP2-type"	"Selected"
"IPR001878"	"Domain"	"Zinc finger, CCHC-type"	"Selected"
"IPR001900"	"Domain"	"Ribonuclease II/R"	"Selected"
"IPR001912"	"Domain"	"Ribosomal protein S4/S9, N-terminal"	"Selected"
"IPR001950"	"Domain"	"SUI1 domain"	"Selected"
"IPR001965"	"Domain"	"Zinc finger, PHD-type"	"Selected"
"IPR001975"	"Domain"	"Ribosomal protein L40e"	"Selected"
"IPR002004"	"Domain"	"Polyadenylate-binding protein/Hyperplastic disc protein"	"Selected"
"IPR002058"	"Domain"	"PAP/25A-associated"	"Selected"
"IPR002059"	"Domain"	"Cold-shock protein, DNA-binding"	"Selected"
"IPR002075"	"Domain"	"Nuclear transport factor 2 domain"	"Selected"
"IPR002121"	"Domain"	"HRDC domain"	"Selected"
"IPR002156"	"Domain"	"Ribonuclease H domain"	"Selected"
"IPR002300"	"Domain"	"Aminoacyl-tRNA synthetase, class Ia"	"Selected"
"IPR002314"	"Domain"	"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)"	"Selected"
"IPR002319"	"Domain"	"Phenylalanyl-tRNA synthetase"	"Selected"
"IPR002466"	"Domain"	"Adenosine deaminase/editase"	"Selected"
"IPR002478"	"Domain"	"PUA domain"	"Selected"
"IPR002483"	"Domain"	"PWI domain"	"Selected"
"IPR002501"	"Domain"	"Pseudouridine synthase II, N-terminal"	"Selected"
"IPR002547"	"Domain"	"tRNA-binding domain"	"Selected"
"IPR002562"	"Domain"	"3'-5' exonuclease domain"	"Selected"
"IPR002616"	"Domain"	"tRNA-guanine(15) transglycosylase-like"	"Selected"
"IPR002646"	"Domain"	"Poly A polymerase, head domain"	"Selected"
"IPR002676"	"Domain"	"RimM, N-terminal"	"Selected"
"IPR002687"	"Domain"	"Nop domain"	"Selected"
"IPR002694"	"Domain"	"Zinc finger, CHC2-type"	"Selected"
"IPR002716"	"Domain"	"PIN domain"	"Selected"
